"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify appropriate error handling when creating user with invalid data","48","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 10:53:57 GMT 2025","passed","Thu Jul 17 10:53:57 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that an existing user can be updated with valid data","37","testUpdateUserWithValidData","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify SQL injection protection in user ID parameter","31","testSqlInjectionProtection","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testSqlInjectionProtection"
"Verify appropriate error handling for invalid user IDs","39","testGetSingleUserByInvalidId","Surefire suite","Thu Jul 17 10:53:56 GMT 2025","passed","Thu Jul 17 10:53:56 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByInvalidId"
"Validate that REST Assured and TestNG are working correctly","25","validateTestFramework","Surefire suite","Thu Jul 17 10:53:59 GMT 2025","passed","Thu Jul 17 10:53:59 GMT 2025","com.emmanuelarhu.tests.ConnectivityTest","Surefire test","com.emmanuelarhu.tests.ConnectivityTest","validateTestFramework"
"Verify error handling when deleting user with negative ID","30","testDeleteUserWithNegativeId","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteUserWithNegativeId"
"Verify appropriate error handling when creating user with invalid data","41","testCreateUserWithInvalidData","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that a single user can be retrieved by valid ID","75","testGetSingleUserByValidId","Surefire suite","Thu Jul 17 10:53:56 GMT 2025","passed","Thu Jul 17 10:53:56 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByValidId"
"Verify that an existing user can be deleted","29","testDeleteExistingUser","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteExistingUser"
"Verify error handling when creating user with malformed JSON","35","testCreateUserWithMalformedJson","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithMalformedJson"
"Verify that a single user can be retrieved by valid ID","52","testGetSingleUserByValidId","Surefire suite","Thu Jul 17 10:53:56 GMT 2025","passed","Thu Jul 17 10:53:56 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByValidId"
"Verify appropriate error handling for invalid user IDs","45","testGetSingleUserByInvalidId","Surefire suite","Thu Jul 17 10:53:56 GMT 2025","passed","Thu Jul 17 10:53:56 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByInvalidId"
"Verify partial update of user data","39","testPartialUpdateUser","Surefire suite","Thu Jul 17 10:53:58 GMT 2025","passed","Thu Jul 17 10:53:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testPartialUpdateUser"
