"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an existing user can be updated with valid data","45","testUpdateUserWithValidData","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify response time for getting all users is acceptable","62","testGetAllUsersResponseTime","Surefire suite","Wed Jul 16 20:17:58 GMT 2025","failed","Wed Jul 16 20:17:58 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetAllUsersResponseTime"
"Verify appropriate error handling when creating user with invalid data","50","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify error handling for non-numeric user ID","46","testGetSingleUserByNonNumericId","Surefire suite","Wed Jul 16 20:17:59 GMT 2025","failed","Wed Jul 16 20:17:59 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByNonNumericId"
"Verify appropriate error handling for invalid user IDs","50","testGetSingleUserByInvalidId","Surefire suite","Wed Jul 16 20:17:59 GMT 2025","failed","Wed Jul 16 20:17:59 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByInvalidId"
"Verify that a new user can be created with valid data","46","testCreateUserWithValidData","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
"Verify that a new user can be created with valid data","492","testCreateUserWithValidData","Surefire suite","Wed Jul 16 20:17:59 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
"Verify appropriate error handling when creating user with invalid data","49","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify error handling when updating non-existent user","47","testUpdateNonExistentUser","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateNonExistentUser"
"Verify API can handle concurrent requests","51","testConcurrentRequests","Surefire suite","Wed Jul 16 20:18:01 GMT 2025","failed","Wed Jul 16 20:18:01 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testConcurrentRequests"
"Verify error handling when creating user with empty request body","42","testCreateUserWithEmptyBody","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithEmptyBody"
"Verify XSS protection in user creation","42","testXssProtection","Surefire suite","Wed Jul 16 20:18:01 GMT 2025","failed","Wed Jul 16 20:18:01 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testXssProtection"
"Verify appropriate error handling when creating user with invalid data","41","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 20:18:00 GMT 2025","failed","Wed Jul 16 20:18:00 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
