"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify error handling when creating user with empty request body","40","testCreateUserWithEmptyBody","Surefire suite","Wed Jul 16 20:15:07 GMT 2025","failed","Wed Jul 16 20:15:07 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithEmptyBody"
"Verify appropriate error handling when creating user with invalid data","46","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 20:15:06 GMT 2025","failed","Wed Jul 16 20:15:07 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify API can handle concurrent requests","33","testConcurrentRequests","Surefire suite","Wed Jul 16 20:15:07 GMT 2025","failed","Wed Jul 16 20:15:07 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testConcurrentRequests"
"Verify email format validation","39","testEmailFormatValidation","Surefire suite","Wed Jul 16 20:15:07 GMT 2025","failed","Wed Jul 16 20:15:07 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testEmailFormatValidation"
"Verify error handling for special characters in user ID","46","testGetSingleUserBySpecialCharacterId","Surefire suite","Wed Jul 16 20:15:06 GMT 2025","failed","Wed Jul 16 20:15:06 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserBySpecialCharacterId"
"Verify error handling for non-numeric user ID","49","testGetSingleUserByNonNumericId","Surefire suite","Wed Jul 16 20:15:06 GMT 2025","failed","Wed Jul 16 20:15:06 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByNonNumericId"
"Verify appropriate error handling for invalid user IDs","47","testGetSingleUserByInvalidId","Surefire suite","Wed Jul 16 20:15:05 GMT 2025","failed","Wed Jul 16 20:15:05 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByInvalidId"
"Verify appropriate error handling when creating user with invalid data","51","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 20:15:06 GMT 2025","failed","Wed Jul 16 20:15:06 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify that a single user can be retrieved by valid ID","55","testGetSingleUserByValidId","Surefire suite","Wed Jul 16 20:15:05 GMT 2025","failed","Wed Jul 16 20:15:05 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByValidId"
"Verify that a new user can be created with valid data","494","testCreateUserWithValidData","Surefire suite","Wed Jul 16 20:15:06 GMT 2025","failed","Wed Jul 16 20:15:06 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
