"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify error handling when deleting user with negative ID","66","testDeleteUserWithNegativeId","Surefire suite","Wed Jul 16 21:05:12 GMT 2025","failed","Wed Jul 16 21:05:12 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteUserWithNegativeId"
"Verify that a new user can be created with valid data","478","testCreateUserWithValidData","Surefire suite","Wed Jul 16 21:05:09 GMT 2025","failed","Wed Jul 16 21:05:10 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
"Verify appropriate error handling when creating user with invalid data","79","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 21:05:10 GMT 2025","failed","Wed Jul 16 21:05:10 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify error handling when deleting non-existent user","125","testDeleteNonExistentUser","Surefire suite","Wed Jul 16 21:05:11 GMT 2025","failed","Wed Jul 16 21:05:11 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteNonExistentUser"
"Verify email format validation","72","testEmailFormatValidation","Surefire suite","Wed Jul 16 21:05:12 GMT 2025","failed","Wed Jul 16 21:05:12 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testEmailFormatValidation"
"Verify error handling for special characters in user ID","79","testGetSingleUserBySpecialCharacterId","Surefire suite","Wed Jul 16 21:05:09 GMT 2025","failed","Wed Jul 16 21:05:09 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserBySpecialCharacterId"
"Verify that a new user can be created with valid data","78","testCreateUserWithValidData","Surefire suite","Wed Jul 16 21:05:10 GMT 2025","failed","Wed Jul 16 21:05:10 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithValidData"
"Verify that an existing user can be updated with valid data","72","testUpdateUserWithValidData","Surefire suite","Wed Jul 16 21:05:11 GMT 2025","failed","Wed Jul 16 21:05:11 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify appropriate error handling when creating user with invalid data","74","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 21:05:10 GMT 2025","failed","Wed Jul 16 21:05:10 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify error handling for non-numeric user ID","89","testGetSingleUserByNonNumericId","Surefire suite","Wed Jul 16 21:05:09 GMT 2025","failed","Wed Jul 16 21:05:09 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByNonNumericId"
"Verify appropriate error handling for invalid user IDs","80","testGetSingleUserByInvalidId","Surefire suite","Wed Jul 16 21:05:09 GMT 2025","failed","Wed Jul 16 21:05:09 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testGetSingleUserByInvalidId"
"Verify appropriate error handling when creating user with invalid data","75","testCreateUserWithInvalidData","Surefire suite","Wed Jul 16 21:05:10 GMT 2025","failed","Wed Jul 16 21:05:10 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithInvalidData"
"Verify error handling when deleting user with invalid ID","70","testDeleteUserWithInvalidId","Surefire suite","Wed Jul 16 21:05:11 GMT 2025","failed","Wed Jul 16 21:05:12 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testDeleteUserWithInvalidId"
"Verify that an existing user can be updated with valid data","74","testUpdateUserWithValidData","Surefire suite","Wed Jul 16 21:05:11 GMT 2025","failed","Wed Jul 16 21:05:11 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testUpdateUserWithValidData"
"Verify partial update of user data","70","testPartialUpdateUser","Surefire suite","Wed Jul 16 21:05:11 GMT 2025","failed","Wed Jul 16 21:05:11 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testPartialUpdateUser"
