"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FakeStore API Testing","4","Users Management","0","0","Delete User","0"
"0","FakeStore API Testing","12","Users Management","0","0","Create User","0"
"0","FakeStore API Testing","11","Users Management","0","0","Get Single User","0"
"0","FakeStore API Testing","6","Users Management","0","0","Update User","0"
"0","FakeStore API Testing","2","Users Management","0","0","Get All Users","0"
"0","FakeStore API Testing","2","Users Management","0","0","Security Tests","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Test Framework","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Allure Integration","0"
"0","FakeStore API Testing","1","Users Management","0","0","Performance Tests","0"
"0","Environment Validation","0","Connectivity Tests","1","0","API Connectivity","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Environment Setup","0"
"0","FakeStore API Testing","1","Users Management","0","0","Data Validation","0"
